Party,Type,Counts,Prohibited act,Amount,Date
Central Garden & Pet Company,Fertilizer civil penalty,12,ORS 633.366(1)(e),"$1,500",06/08/2016
"Canadian Humalite International, Inc.",Fertilizer notice of violation,2,ORS 633.366(1)(a),,06/08/2016
Central Garden & Pet Company,Fertilizer civil penalty,2,ORS 633.366(1)(a),$750,06/08/2016
"Canadian Humalite International, Inc.",Fertilizer notice of violation,3,ORS 633.366(1)(e),,06/08/2016
C.S.I. Chemical Corporation,Fertilizer notice of violation,1,ORS 633.366(1)(a),,06/06/2016
"Rentech Nitrogen Pasadena, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(e),,06/06/2016
"Organic Bountea, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,06/06/2016
Helena Chemical Company,Fertilizer notice of violation,2,ORS 633.366(1)(a),,06/06/2016
Helena Chemical Company,Fertilizer notice of violation,1,ORS 633.366(1)(e),,06/06/2016
The Espoma Company,Fertilizer notice of violation,2,ORS 633.366(1)(e),,06/05/2016
Baicor LC,Fertilizer notice of violation,1,ORS 633.366(1)(a),,06/05/2016
"Imagine Custom Landscape, Inc. (OG Biowar)",Fertilizer notice of violation,2,ORS 633.366(1)(a),,06/05/2016
"Rentech Nitrogen Pasadena, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,06/05/2016
Lind Marine Incorporated,Fertilizer notice of violation,1,ORS 633.366(1)(a),,06/05/2016
"Ferti-Organic, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,06/05/2016
"Purely Organic Products, LLC",Fertilizer notice of violation,2,ORS 633.366(1)(a),,06/05/2016
"Ferti-Organic, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,06/05/2016
"Purely Organic Products, LLC",Fertilizer notice of violation,49,ORS 633.366(1)(e),,06/05/2016
Polk County Farmers' Co-op (AG West Supply),Fertilizer notice of violation,1,ORS 633.366(1)(e),,06/05/2016
"Bridgewell Resources, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(e),,06/03/2016
"Master Plant-Prod, Inc.",Fertilizer notice of violation,3,ORS 633.366(1)(a),,06/02/2016
Jim Hicks and Co.,Fertilizer notice of violation,1,ORS 633.366(1)(e),,04/16/2016
"Bio-Organic Solutions, Inc. (Vermicrop Organics)",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,03/22/2016
Thurlow & Associates,Fertilizer notice of violation,1,ORS 633.366(1)(e),,03/20/2016
"UF Granular Fertilizers, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,03/13/2016
Hydroponix,Fertilizer notice of violation,1,ORS 633.366(1)(a),,03/08/2016
Nachurs Alpine Solutions Corp.,Fertilizer notice of violation,4,ORS 633.366(1)(e),,03/08/2016
Nachurs Apline Solutions Corp.,Fertilizer notice of violation,7,ORS 633.366(1)(a),,03/08/2016
"J.B. Instant Lawn, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,03/08/2016
Nachurs Alpine Solutions Corp.,Fertilizer civil penalty,1,ORS 633.366(1)(g),$500,03/08/2016
Hydroponix,Fertilizer notice of violation,5,ORS 633.366(1)(e),,03/08/2016
Hocking International Laboratories Incorporated,Fertilizer notice of violation,2,ORS 633.366(1)(e),,03/07/2016
"ENP, Inc. (Age Old Organics)",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,03/07/2016
"Paradigm Ag Solutions, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,03/07/2016
"SJ Enterprises Pty., Ltd.",Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,03/07/2016
"Eagle Eye Marketing Group, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,03/03/2016
"Eagle Eye Marketing Group, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,03/03/2016
"BioBizz NA, LLC",Fertilizer notice of violation,3,ORS 633.366(1)(a),,03/02/2016
"Humboldt Nutrients, LLC",Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,02/16/2016
"Sunlight Supply, Inc. (National Garden Wholesale)",Fertilizer civil penalty,8,ORS 633.366(1)(e),"$1,000",02/04/2016
"Sunlight Supply, Inc. (National Garden Wholesale)",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,02/04/2016
"Stoller Enterprises, Inc.",Fertilizer notice of violation,4,ORS 633.366(1)(a),,01/25/2016
"Ecological Laboratories, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,01/25/2016
"DL Wholesale, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,01/25/2016
"DL Wholesale, Inc.",Fertilizer notice of violation,2,ORS 633.366(1)(e),,01/25/2016
"Pure Life Veganix, LLC",Fertilizer notice of violation,2,ORS 633.366(1)(a),,01/24/2016
Dyna-Gro,Fertilizer notice of violation,1,ORS 633.366(1)(a),,01/24/2016
OG Tea Party,Fertilizer notice of violation,1,ORS 633.366(1)(c),,01/24/2016
Dyna-Gro,Fertilizer notice of violation,4,ORS 633.366(1)(e),,01/24/2016
"Custom Ag Formulators, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,01/24/2016
"Custom Ag Formulators, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,01/24/2016
OG Tea Party,Fertilizer notice of violation,2,ORS 633.366(1)(a),,01/24/2016
"Agro Solutions USA, LLC",Fertilizer notice of violation,2,ORS 633.366(1)(e),,01/24/2016
"The Green Avengers, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,11/16/2015
Emerald Triangle Products,Fertilizer notice of violation,1,ORS 633.366(1)(e),,11/08/2015
Emerald Triangle Products,Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,11/08/2015
"Sensi Science Organics, LLC",Fertilizer notice of violation,6,ORS 633.366(1)(e),,11/04/2015
